Artist,Artist AVG Release,Playlist Link,Playlist Description,Playlists Likes,Playlist AVG Release Time,Artist Inside,Artists Spotify Link,AVG Release Time Artist,Monthly Listeners,Career Started,Time Since Latest Release,Number of Tracks,AVG Release Time Per Track Artist,Instagram Link,Instagram Subscribers,Popularity Index,Artist Link,Average Likes,Average Comments,Average Release Time IG,Artist Link,Average Likes,Average Comments,Average Release Time IG
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Cascadura,https://open.spotify.com/artist/4men4AF4Dg9dqeV1SucnjH,2313,6300,4088,1775.44726465146,36,113,No Instagram,-1,16,https://open.spotify.com/artist/4men4AF4Dg9dqeV1SucnjH,-1.0,-1.0,-1.0,https://open.spotify.com/artist/3RISmAgVwF5b24BjC8OsYZ,350.7105263157895,3.5384615384615383,10.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Vicente,https://open.spotify.com/artist/3WmkXCuZqZsLATHvXb9l1W,3261.875,4800,19770,153.44727535787,65,304,No Instagram,-1,11,https://open.spotify.com/artist/3WmkXCuZqZsLATHvXb9l1W,-1.0,-1.0,-1.0,https://open.spotify.com/artist/4grFkvUAEj8IWdGDEJ2F4b,745.2340425531914,1.8333333333333333,6.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Moptop,https://open.spotify.com/artist/5aVY2EA0WxA3STJaBgG8ua,579,31100,6256,5677.44728472208,17,368,No Instagram,-1,28,https://open.spotify.com/artist/5aVY2EA0WxA3STJaBgG8ua,-1.0,-1.0,-1.0,https://open.spotify.com/artist/6ClsQzysfXch2pyPgSbv2P,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Jova,https://open.spotify.com/artist/5DETkZU3Alp5yzyLmB5rnw,86.3333333333333,7500,1131,95.4472931035532,28,40,https://instagram.com/eusoujova,2211,12,https://open.spotify.com/artist/5DETkZU3Alp5yzyLmB5rnw,194.78378378378375,5.2727272727272725,5.0,https://open.spotify.com/artist/78fckCKXUHmyU5hRsbNfyr,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Ortinho,https://open.spotify.com/artist/7wM3mUnBfW5GlkYClnPYTA,1275.6,6000,6251,438.447314443264,60,104,https://instagram.com/ortinho_ortinho,26000,11,https://open.spotify.com/artist/7wM3mUnBfW5GlkYClnPYTA,868.9117647058823,6.2,5.0,https://open.spotify.com/artist/2AfR24rIhReKAoUrxR8Bea,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Bárbara Eugênia,https://open.spotify.com/artist/0FJA2ViptVdnv30E7cg51l,557.368421052632,53800,4723,137.447338677234,102,46,https://instagram.com/barbaraeu/,68,29,https://open.spotify.com/artist/0FJA2ViptVdnv30E7cg51l,,,0.0,https://open.spotify.com/artist/7EPJIXpsTBE9OA3uiO1qm2,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Lucas Zolini,https://open.spotify.com/artist/2AKjzw8usPX1aCuERBTQCA,228.166666666667,248,1594,127.447352759167,106,15,No Instagram,-1,1,https://open.spotify.com/artist/2AKjzw8usPX1aCuERBTQCA,-1.0,-1.0,-1.0,https://open.spotify.com/artist/2vY3QN8jlAZS4C4OsbDYV6,319.7647058823529,5.333333333333333,2.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Canto Cego,https://open.spotify.com/artist/6QTbpmAmWmgLk7O1cZlXin,374.117647058824,2000,2167,12.4473620280093,62,34,https://instagram.com/cantocego,11000,11,https://open.spotify.com/artist/6QTbpmAmWmgLk7O1cZlXin,1324.7608695652175,12.642857142857142,1.0,https://open.spotify.com/artist/7o0E4NxdCtMa1dsAUOg9CL,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Banda Neil,https://open.spotify.com/artist/5wmk5W3IrUqq9FEnugmIaF,317.833333333333,4700,3820,7.44738331082176,44,86,https://instagram.com/bandaneil12,172,21,https://open.spotify.com/artist/5wmk5W3IrUqq9FEnugmIaF,30.235294117647054,0.2222222222222222,52.0,https://open.spotify.com/artist/4nzhet9DcBOP8xN3kHXB4Z,184.96153846153845,8.666666666666666,10.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Mauk &amp; Os Cadillacs Malditos,https://open.spotify.com/artist/31V8LVCCAuFI7X4FviQIOJ,731.388888888889,207,6163,70.4474022843171,84,73,No Instagram,-1,16,https://open.spotify.com/artist/31V8LVCCAuFI7X4FviQIOJ,-1.0,-1.0,-1.0,https://open.spotify.com/artist/2VaVxgcdH4S7AqPSslLaWJ,32.083333333333336,2.4444444444444446,32.0
