index,Artist,Playlist AVG Release Time,Instagram Link,Artists Spotify Link,Career Started,Number of Tracks,Instagram Subscribers,Monthly Listeners,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlist Description,Playlists Likes,Average Comments,Artist AVG Release,Playlist Link,Popularity Index,Artist Inside,AVG Release Time Per Track Artist,Average Likes,AVG listeners playlist,Number of artists in playlist
0,LOVNIS,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
1,ULITKA,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
2,Mark Loughrey,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
741,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/3db6mArjFH2zSk0JJtUnIx,4911.0,113.0,-1.0,193.0,95.46331952759259,-1.0,306.7,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,1,Insect Elektrika,43.0,-1.0,282466.19384615385,975.0
742,Ponte Pilas,395.4468054149948,https://instagram.com/stereo.expresss,https://open.spotify.com/artist/3j2zB13syOvCyrkJIomEA2,4459.0,142.0,-1.0,192600.0,82.46342953738426,0.0,276.15555555555557,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,37,Stereo Express,31.0,,282466.19384615385,975.0
743,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/6vNe5MINTo5QZyR08sBOBA,3744.0,42.0,-1.0,1800000.0,753.4634700993055,-1.0,157.42105263157896,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,53,Anna Naklab,89.0,-1.0,282466.19384615385,975.0
744,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/3mI7urLkw51OePq82ZYicz,3294.0,136.0,-1.0,42700.0,88.46352476979168,-1.0,378.22222222222223,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,27,M. D. Pallavi,24.0,-1.0,282466.19384615385,975.0
745,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/5sKgafUwXcHbfna2Evn6oE,0.0,0.0,-1.0,725.0,0.0,-1.0,0.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,2,BéTé,0.0,-1.0,282466.19384615385,975.0
746,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/2AfR24rIhReKAoUrxR8Bea,3231.0,69.0,-1.0,88400.0,39.463561579444445,-1.0,381.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,33,Laut &amp; Luise,46.0,-1.0,282466.19384615385,975.0
747,Ponte Pilas,395.4468054149948,https://instagram.com/kumbia_queers,https://open.spotify.com/artist/5YyaDaOco3I0zoLtGxDM5K,5872.0,75.0,-1.0,42500.0,60.46359326978009,0.0,932.875,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,29,Kumbia Queers,78.0,,282466.19384615385,975.0
748,Ponte Pilas,395.4468054149948,https://instagram.com/meetgodisgod/,https://open.spotify.com/artist/3h4kqhEz2vVD4lWCsF4Uwv,572.0,31.0,-1.0,532.0,32.46363374600695,0.0,303.6,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,3,God Is God,18.0,,282466.19384615385,975.0
749,Ponte Pilas,395.4468054149948,https://instagram.com/DaddySquad.official,https://open.spotify.com/artist/7ILhSMHJML8HVt4GBi6LGj,1355.0,50.0,-1.0,31600.0,11.463676133252315,0.0,49.5,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,24,Daddy Squad,27.0,,282466.19384615385,975.0
750,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/2fC8GMMVIAVPBX2O50Lijm,6014.0,119.0,-1.0,11100.0,25.463766035381948,-1.0,166.36111111111111,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,16,Marco Resmann,50.0,-1.0,282466.19384615385,975.0
751,Ponte Pilas,395.4468054149948,https://instagram.com/joepbeving,https://open.spotify.com/artist/2VKfXEWzhUi9siHBDTI02Y,3082.0,210.0,-1.0,1800000.0,95.46386414932871,0.0,265.5357142857143,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,57,Joep Beving,14.0,,282466.19384615385,975.0
752,Ponte Pilas,395.4468054149948,https://instagram.com/fenster_online/,https://open.spotify.com/artist/7ohjR0GfCYEIiKvkOM08w0,4323.0,53.0,-1.0,17800.0,1789.4639147348612,0.0,805.7777777777778,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,20,Fenster,81.0,,282466.19384615385,975.0
753,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/2fL8FcTGTOjL5CvP153VGN,589.0,7.0,-1.0,27300.0,445.46394650693287,-1.0,144.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,22,Bianka Banks,84.0,-1.0,282466.19384615385,975.0
754,Ponte Pilas,395.4468054149948,https://instagram.com/morenaleraba,https://open.spotify.com/artist/2aUErDeR4aoZDvy9ZYMhzO,774.0,9.0,-1.0,7900.0,165.4639757190625,0.0,203.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,25,Morena Leraba,86.0,,282466.19384615385,975.0
755,Ponte Pilas,395.4468054149948,https://instagram.com/surfmysoul/?igshid=YmMyMTA2M2Y%3D,https://open.spotify.com/artist/4QNFhpa7Y6doAVzcy2uJWu,685.0,6.0,-1.0,1500.0,141.46401939659722,0.0,544.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,6,EllaVie,114.0,,282466.19384615385,975.0
756,Ponte Pilas,395.4468054149948,https://instagram.com/nomadic_music/,https://open.spotify.com/artist/5Wphrm29N2BLcBqZOmRXN5,1744.0,42.0,-1.0,90400.0,18.464065569525463,0.0,153.2173913043478,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,34,Nomadic,41.0,,282466.19384615385,975.0
