Artist in main Playlist,Playlist,Artist Found,Artist Link,Monthly Listeners,IG,On Tour
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Tua,https://open.spotify.com/artist/1GXnXJCevXK2b7qDAwdU5u,181200.0,No Instagram,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,M-HOT,https://open.spotify.com/artist/0mv5XAj0xrmVwPKm5HxcBA,168.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,TIK,https://open.spotify.com/artist/1ae0XWFchgXeHTFNVDnBCH,97000.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,Exile,https://open.spotify.com/artist/5y2nxPRzcl7o0NiNugJJ4O,7.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,Lida,https://open.spotify.com/artist/0ChMIwzbYxHbebgoPeETfV,191400.0,https://instagram.com/kingofthesperma/,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,dirtyxgatryx,https://open.spotify.com/artist/4QrNIYI6yRydRdi9yw34T6,7100.0,https://instagram.com/dirtyxgatryx/,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,BALKON,https://open.spotify.com/artist/3mRaoamjAyrixUbbej4KFu,89200.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,Dilblin,https://open.spotify.com/artist/2fIVfHaGTVT4pxJbQE9Auk,7.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,To Eternity,https://open.spotify.com/artist/239RzDmVa4D8Or8e9ZZX5Q,122500.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,Baby Cute,https://open.spotify.com/artist/6DAzBc6NiyLFSKZ8dmj4Rc,5000.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,Nikita,https://open.spotify.com/artist/0UCa56b7hiX05ZWC5BH2zo,42900.0,No Instagram,False
